Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
congkhoinghiep.vn,100,100,100,100,A+,
adoremon.vn,100,70,100,0,E,
kangaroo.vn,100,70,100,0,E,
phapluatplus.vn,100,70,100,0,E,
phatgiao.org.vn,100,80,100,100,A+,
danhkhoireal.vn,100,90,100,70,A,
hasaki.vn,100,70,100,70,B,
namdinh.gov.vn,100,100,100,100,A+,
hsbc.com.vn,100,90,100,70,A,
vcci.com.vn,100,70,100,70,B,
sony.com.vn,100,70,100,70,B,
aiacademy.edu.vn,100,100,100,100,A+,
viettelpost.com.vn,100,70,100,70,B,
vinapos.com.vn,100,90,100,70,A,
pnj.com.vn,100,90,100,70,A,
baodauthau.vn,100,100,100,100,A+,
docbao.vn,100,70,100,70,B,
thientanco.vn,100,70,100,0,E,
thcstranphuductrong.edu.vn,100,100,100,100,A+,
kvn.vn,100,100,100,100,A+,
msb.com.vn,100,90,100,70,A,
nhipsongkinhdoanh.vn,100,100,100,100,A+,
xemboituvi.vn,100,80,100,100,A+,
yellowpages.vn,100,80,100,100,A+,
pkd-novaland.com.vn,100,100,100,100,A+,
passwatch.vn,100,80,100,100,A+,
anycar.vn,100,80,100,100,A+,
lipan.vn,100,90,100,0,E,
zingmp3.vn,100,90,100,70,A,
baodongkhoi.vn,100,70,100,70,B,
bvhttdl.gov.vn,100,100,100,100,A+,
dsvn.vn,100,70,100,70,B,
hotrotaichinh.com.vn,100,70,100,70,B,
bonsaiart.vn,100,80,100,100,A+,
by.com.vn,100,70,100,100,A,
ou.edu.vn,100,70,100,0,E,
jupviec.vn,100,100,100,100,A+,
daibieunhandan.vn,100,100,100,100,A+,
vietchess.vn,100,70,100,70,B,
athos.vn,100,70,100,0,E,
fado.vn,100,90,100,70,A,
laque.vn,100,80,100,100,A+,
timviec365.vn,100,70,100,70,B,
didongviet.vn,100,100,100,100,A+,
dulichviet.com.vn,100,80,100,100,A+,
sapp.edu.vn,100,70,100,70,B,
thecoders.vn,100,100,100,100,A+,
haiphong.gov.vn,100,70,100,70,B,
tuoitrethudo.com.vn,100,90,100,70,A,
autopro.com.vn,100,100,100,100,A+,
uit.edu.vn,100,70,100,70,B,
quangbinh.gov.vn,100,70,100,0,E,
