Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
myskillsfuture.gov.sg,100,90,100,70,A,
torque.com.sg,100,100,100,100,A+,
firstpagedigital.sg,100,80,100,100,A+,
e2i.com.sg,100,100,100,100,A+,
firstcom.com.sg,100,100,100,100,A+,
amazon.com.sg,100,70,100,70,B,
thewriteconnection.com.sg,100,100,100,100,A+,
buddhatoothrelictemple.org.sg,100,80,100,100,A+,
cape-royale-sentosa.sg,100,100,100,100,A+,
shout.sg,100,100,100,100,A+,
cimb.com.sg,100,90,100,70,A,
roberthalf.com.sg,100,100,100,100,A+,
sos.org.sg,100,100,100,100,A+,
indesignlive.sg,100,100,100,100,A+,
furnituresg.com.sg,100,80,100,100,A+,
eezee.sg,100,100,100,100,A+,
sakaesushi.com.sg,100,100,100,100,A+,
theperfectten.sg,100,100,100,100,A+,
tdameritrade.com.sg,100,90,100,70,A,
toysrus.com.sg,100,70,100,70,B,
dimensions.edu.sg,100,100,100,100,A+,
coreconcepts.com.sg,100,70,100,70,B,
psd.gov.sg,100,90,100,70,A,
nccs.com.sg,100,90,100,70,A,
case.org.sg,100,100,100,100,A+,
fwd.com.sg,100,100,100,100,A+,
theprojector.sg,100,100,100,100,A+,
weekender.com.sg,100,100,100,100,A+,
mistermobile.com.sg,100,90,100,70,A,
level33.com.sg,100,100,100,100,A+,
brightsparks.com.sg,100,100,100,100,A+,
shengsiong.com.sg,100,100,100,100,A+,
istana.gov.sg,100,90,100,70,A,
sozoclinic.sg,100,100,100,100,A+,
chijmes.com.sg,100,80,100,100,A+,
burntends.com.sg,100,80,100,100,A+,
sats.com.sg,100,90,100,70,A,
ns.sg,100,90,100,70,A,
bookmytable.sg,100,100,100,100,A+,
ultracheminc.sg,100,90,100,0,E,
ohl.com.sg,100,100,100,100,A+,
scamalert.sg,100,70,100,70,B,
eps2008.com.sg,100,100,100,100,A+,
kingliving.com.sg,100,80,100,100,A+,
procar.sg,100,100,100,100,A+,
family.sg,100,80,100,100,A+,
the-avenir-condo.com.sg,100,100,100,100,A+,
thelentormodern.sg,100,100,100,100,A+,
aviva.com.sg,100,90,100,0,E,
awebstar.com.sg,100,70,100,70,B,
btrts.org.sg,100,80,100,100,A+,
careerjet.sg,100,80,100,100,A+,
businessgrants.gov.sg,100,90,100,70,A,
weiqi.org.sg,100,70,100,70,B,
bosch-home.com.sg,100,100,100,100,A+,
redsports.sg,100,100,100,100,A+,
chinatown.sg,100,90,100,0,E,
vaccine.gov.sg,100,100,100,100,A+,
stashaway.sg,100,100,100,100,A+,
tidy.com.sg,100,100,100,100,A+,
touch.org.sg,100,80,100,100,A+,
startupsg.gov.sg,100,100,100,100,A+,
thefinance.sg,100,80,100,100,A+,
takashimaya.com.sg,100,90,100,70,A,
amoresidencescondo.com.sg,100,100,100,100,A+,
thaiembassy.sg,100,100,100,100,A+,
avantconsulting.sg,100,100,100,100,A+,
goldenagri.com.sg,100,100,100,100,A+,
dintaifung.com.sg,100,100,100,100,A+,
kiehls.com.sg,100,90,100,100,A+,
mccy.gov.sg,100,90,100,70,A,
singaporecancersociety.org.sg,100,100,100,100,A+,
lia.org.sg,100,80,100,100,A+,
aas.com.sg,100,100,100,100,A+,
moneydigest.sg,100,80,100,100,A+,
nirvanamemorialcolumbarium.sg,100,100,100,100,A+,
comodempsey.sg,100,100,100,100,A+,
axs.com.sg,100,100,100,100,A+,
foodbank.sg,100,100,100,100,A+,
nipponpaint.com.sg,100,100,100,100,A+,
therivierecondo.sg,100,100,100,100,A+,
sifa.sg,100,100,100,100,A+,
thewell.sg,100,100,100,100,A+,
sccci.org.sg,100,100,100,100,A+,
theperfect-ten.sg,100,100,100,100,A+,
lookfantastic.com.sg,100,100,100,100,A+,
edgeworks.com.sg,100,100,100,100,A+,
isetan.com.sg,100,90,100,70,A,
impossible.sg,100,100,100,100,A+,
myrepublic.com.sg,100,100,100,100,A+,
roots.sg,100,90,100,70,A,
hiapheng.com.sg,100,100,100,100,A+,
sweelee.com.sg,100,100,100,100,A+,
homify.sg,100,70,100,70,B,
cnb.gov.sg,100,90,100,70,A,
digitalsenior.sg,100,100,100,100,A+,
str.sg,100,100,100,100,A+,
tts.edu.sg,100,80,100,100,A+,
hotfrog.sg,100,80,100,100,A+,
hometeamns.sg,100,100,100,100,A+,
elitigation.sg,100,90,100,70,A,
sgnic.sg,100,90,100,70,A,
duplex.sg,100,100,100,100,A+,
easitech.sg,100,80,100,100,A+,
secretlab.sg,100,100,100,100,A+,
human.com.sg,100,100,100,100,A+,
umonics.sg,100,100,100,100,A+,
redbus.sg,100,90,100,0,E,
shape.com.sg,100,100,100,100,A+,
musicaltouch.sg,100,100,100,100,A+,
horme.com.sg,100,90,100,70,A,
stjobs.sg,100,90,100,70,A,
challenger.sg,100,100,100,100,A+,
burgerking.com.sg,100,90,100,70,A,
ads.sg,100,80,100,100,A+,
ciarb.org.sg,100,90,100,70,A,
youtube.com.sg,100,80,100,100,A+,
photobooth.sg,100,100,100,100,A+,
kca.sg,100,100,100,100,A+,
clc.gov.sg,100,90,100,70,A,
aquaholic.com.sg,100,100,100,100,A+,
carltonhotel.sg,100,90,100,70,A,
lesamis.com.sg,100,80,100,100,A+,
wearesocial.sg,100,100,100,100,A+,
singaporeexpo.com.sg,100,90,100,0,E,
theparknova.com.sg,100,100,100,100,A+,
hometrust.sg,100,90,100,0,E,
angelface.com.sg,100,100,100,100,A+,
robinsons.com.sg,100,100,100,100,A+,
pizzahut.com.sg,100,70,100,0,E,
wlp.com.sg,100,100,100,100,A+,
seogeek.sg,100,100,100,100,A+,
hot.com.sg,100,100,100,100,A+,
pacificlight.com.sg,100,100,100,100,A+,
canninghillpierscondo.com.sg,100,100,100,100,A+,
knowlesti.sg,100,100,100,100,A+,
mapletree.com.sg,100,90,100,30,C,
coworkingspace.com.sg,100,80,100,100,A+,
kimspl.com.sg,100,100,100,100,A+,
ais.com.sg,100,100,100,100,A+,
cityofgood.sg,100,100,100,100,A+,
onepa.gov.sg,100,100,100,100,A+,
hci.edu.sg,100,100,100,100,A+,
channel8news.sg,100,100,100,100,A+,
dsta.gov.sg,100,90,100,70,A,
dynamicmarketing.sg,100,80,100,100,A+,
homerenoguru.sg,100,100,100,100,A+,
aig.sg,100,90,100,70,A,
